Date,Temperature(Deg C),Specific Conductance(uS/m),Dissolved Oxygen(mg/L),pH(SU),Oxidation-Reduction Potential(mV),Turbidity(NTU),Chlorophyll a (ug/L)
07/31/08,30.19,157,6.12,7.77,195.43,2.45,8.6
08/01/08,30.34,159,5.97,7.73,204.29,14.30,7.2
08/02/08,30.86,160,7.06,8.13,200.59,17.06,8.1
08/03/08,30.92,160,6.10,8.01,218.61,3.18,7.0
08/04/08,31.24,163,5.87,7.98,218.02,4.26,5.2
08/05/08,31.26,163,5.81,7.98,195.85,1.96,4.8
08/06/08,31.01,164,6.67,8.06,194.51,2.10,7.5
08/07/08,30.40,163,5.68,7.64,226.25,2.10,7.6
08/08/08,29.94,162,5.49,7.47,224.18,2.73,8.4
08/09/08,29.82,163,5.56,7.53,218.31,2.47,8.3
08/10/08,29.65,164,5.19,7.53,218.36,1.80,13.0
08/11/08,29.41,164,5.45,7.53,209.84,6.67,6.7
08/12/08,28.89,164,5.33,7.51,211.67,44.88,5.5
08/13/08,28.53,165,5.46,7.45,223.29,19.18,7.6
08/14/08,28.49,166,5.10,7.32,233.83,5.60,6.1
08/15/08,28.23,165,5.39,7.42,245.70,14.24,6.3
08/16/08,28.17,166,5.51,7.43,251.79,43.18,5.8
08/17/08,28.04,165,5.63,7.49,239.66,119.32,5.4
08/18/08,28.02,164,6.17,7.69,223.19,118.17,8.1
08/19/08,27.80,164,5.90,7.55,234.45,140.83,9.5
08/20/08,27.75,165,5.62,7.67,214.22,130.31,124.7
08/21/08,27.29,165,4.55,7.36,211.16,143.54,163.8
08/22/08,27.18,165,5.11,7.39,200.51,221.25,188.9
08/23/08,27.38,166,5.39,7.44,195.20,231.97,96.3
08/24/08,27.41,166,5.82,7.62,180.42,69.77,134.5
08/25/08,27.29,165,5.24,7.49,190.16,100.92,173.5
08/26/08,27.14,165,5.06,7.34,190.47,160.75,117.3
08/27/08,27.14,165,5.55,7.44,185.90,129.08,131.1
08/28/08,27.97,170,6.03,7.57,174.90,109.44,3.4
08/29/08,27.60,170,6.85,7.70,174.66,87.31,6.5
08/30/08,27.37,172,5.73,7.35,184.92,134.01,6.8
08/31/08,27.94,172,6.93,7.53,172.67,77.60,6.6
09/01/08,28.37,171,7.46,7.89,159.29,42.56,6.1
09/02/08,28.06,173,6.56,7.64,160.20,61.21,5.6
09/03/08,28.17,174,6.60,7.66,153.21,96.79,4.9
09/04/08,27.41,174,6.08,7.31,164.24,135.37,5.9
09/05/08,27.10,173,5.11,7.16,161.11,197.16,5.2
09/06/08,26.87,172,5.51,7.18,156.25,220.66,4.3
09/07/08,27.03,171,6.74,7.28,161.58,166.13,6.3
09/08/08,27.31,171,8.76,7.63,159.41,289.27,14.0
09/09/08,26.60,171,6.67,7.41,167.14,593.84,15.6
09/10/08,26.71,170,6.04,7.34,162.81,529.56,5.6
09/11/08,26.51,169,6.61,7.48,161.35,633.87,7.0
09/12/08,26.51,168,6.44,7.44,160.23,780.12,11.2
09/13/08,26.51,168,6.48,7.38,155.97,407.41,11.3
09/14/08,26.15,168,6.71,7.58,150.94,283.24,36.1
09/15/08,25.57,171,6.44,7.53,149.80,237.74,35.6
09/16/08,25.03,172,6.54,7.53,147.34,209.59,44.8
09/17/08,24.79,172,6.71,7.61,141.44,162.26,38.2
09/18/08,24.70,173,6.86,7.60,145.58,160.92,93.8
09/19/08,24.58,173,7.34,7.83,143.51,233.67,69.4
09/20/08,24.30,174,6.30,7.51,151.93,229.01,57.4
09/21/08,24.84,176,7.03,7.68,120.44,215.20,26.3
09/22/08,25.39,177,7.82,7.92,137.11,190.78,28.4
09/23/08,25.37,179,7.84,7.91,157.38,240.90,8.2
09/24/08,25.15,179,7.51,7.88,152.16,239.82,4.1
09/25/08,24.93,179,7.60,7.84,146.92,256.72,5.7
09/26/08,24.33,180,6.60,7.57,162.63,250.45,14.9
09/27/08,24.16,183,6.64,7.53,160.99,237.40,9.7
09/28/08,24.22,182,5.80,7.40,171.75,148.71,7.3
09/29/08,24.50,184,5.55,7.33,175.88,122.04,5.0
09/30/08,24.08,182,6.98,7.54,181.96,141.66,5.1
10/01/08,23.54,184,6.87,7.54,181.04,233.02,5.1
10/02/08,23.21,183,6.43,7.47,185.65,303.84,3.7
10/03/08,23.29,184,6.45,7.45,180.84,261.41,6.4
10/04/08,22.94,184,6.72,7.44,175.34,432.41,6.5
10/05/08,22.80,184,7.26,7.56,172.52,210.26,5.7
10/06/08,22.73,184,7.48,7.54,174.13,137.81,6.0
10/07/08,22.24,184,7.39,7.49,192.35,313.28,31.5
10/08/08,22.08,186,6.85,7.36,201.76,635.71,29.1
10/09/08,22.30,187,6.68,7.30,196.56,620.13,36.4
10/10/08,22.35,187,6.86,7.30,198.42,610.89,25.6
10/11/08,22.83,186,8.69,7.72,172.41,585.36,28.9
10/12/08,22.86,186,8.84,7.85,154.88,587.73,52.8
10/13/08,22.52,186,7.16,7.44,187.30,586.80,42.6
10/14/08,22.61,186,6.85,7.31,186.47,605.00,24.7
10/15/08,22.80,186,7.23,7.41,175.15,589.10,30.6
10/16/08,22.44,185,7.28,7.55,171.89,452.47,7.9
10/17/08,22.07,188,7.04,7.52,177.38,664.29,4.3
10/18/08,21.57,189,7.23,7.53,182.83,576.76,23.9
10/19/08,21.03,190,6.57,7.40,195.40,446.97,20.3
10/20/08,20.63,190,6.41,7.39,198.60,608.83,29.1
10/21/08,20.40,191,7.14,7.48,194.16,522.03,35.1
10/22/08,19.82,191,7.81,7.58,195.09,511.24,37.8
10/23/08,19.09,192,7.83,7.56,211.01,695.51,7.6
10/24/08,18.66,193,7.95,7.54,221.58,660.89,15.0
10/25/08,18.36,193,8.01,7.53,225.30,665.55,22.1
10/26/08,18.12,194,8.14,7.55,222.82,585.02,11.2
10/27/08,17.22,193,8.67,7.69,253.48,544.99,4.5
10/28/08,16.31,193,8.96,7.73,272.34,233.24,4.9
10/29/08,15.95,196,8.75,7.67,280.77,322.64,4.3
10/30/08,15.69,196,8.93,7.70,284.74,401.23,4.7
10/31/08,15.51,196,8.97,7.66,291.66,379.23,4.6
11/01/08,15.55,196,9.08,7.68,292.97,405.13,4.4
11/02/08,15.67,195,9.16,7.66,294.66,661.08,4.5
11/03/08,15.60,196,8.97,7.62,295.71,657.94,4.6
11/04/08,15.64,196,9.20,7.66,310.82,723.27,4.6
11/05/08,15.65,196,9.46,7.72,332.21,750.94,5.1
11/06/08,15.59,196,9.39,7.68,328.77,608.45,4.5
11/07/08,15.63,198,9.11,7.63,326.30,327.81,4.5
11/08/08,15.49,200,9.32,7.66,319.88,259.06,4.4
11/09/08,14.88,201,9.55,7.73,317.82,323.89,5.2
11/10/08,14.41,202,9.19,7.65,323.71,291.62,5.9
11/11/08,13.97,203,9.27,7.67,325.95,299.34,5.2
11/12/08,13.75,204,9.48,7.69,325.16,336.13,3.7
11/13/08,13.79,203,9.33,7.65,326.17,405.43,3.7
11/14/08,13.81,202,9.39,7.65,323.63,425.89,3.2
11/15/08,13.43,202,9.68,7.70,322.72,581.03,3.6
11/16/08,12.83,203,9.67,7.71,327.50,615.48,3.6
11/17/08,12.52,204,9.86,7.73,326.90,672.00,3.1
11/18/08,12.17,204,9.98,7.76,329.46,219.16,2.9
11/19/08,11.49,205,9.94,7.74,334.65,252.68,3.0
11/20/08,11.14,204,10.25,7.79,332.96,217.78,3.3
11/21/08,10.45,206,10.57,7.84,334.80,141.79,3.2
11/22/08,9.68,206,10.63,7.84,338.26,159.94,3.4
11/23/08,9.38,206,10.69,7.83,338.46,190.43,3.3
11/24/08,9.24,207,10.97,7.87,337.81,219.79,3.5
11/25/08,9.27,208,10.81,7.83,339.84,252.05,3.6
11/26/08,9.06,208,10.92,7.85,340.42,260.25,4.0
11/27/08,9.01,208,10.86,7.79,341.48,237.29,4.1
11/28/08,8.97,209,10.97,7.83,339.94,269.17,4.6
11/29/08,9.03,209,10.90,7.83,339.86,309.17,4.6
11/30/08,8.99,210,10.77,7.80,340.24,357.87,4.3
12/01/08,8.64,210,11.03,7.86,339.33,375.75,4.5
12/02/08,8.20,210,11.15,7.88,339.65,336.84,4.1
12/03/08,8.07,210,11.40,7.93,338.16,188.03,4.6
12/04/08,7.82,209,11.62,7.98,338.50,135.06,4.7
12/05/08,7.38,210,11.82,7.99,303.71,91.71,6.1
12/06/08,7.08,211,11.94,7.98,294.07,1.79,5.1
12/07/08,6.78,211,12.00,7.97,302.76,1.48,4.7
12/08/08,6.43,210,12.23,8.01,299.18,1.78,6.0
12/09/08,6.41,208,12.31,8.01,297.74,2.69,7.6
12/10/08,6.54,207,12.15,7.96,295.70,2.04,6.9
12/11/08,6.63,206,12.04,7.94,292.89,2.31,7.0
12/12/08,6.49,206,12.05,7.93,291.00,3.52,6.0
12/13/08,6.47,206,12.04,7.91,290.46,5.65,6.3
12/14/08,6.68,202,11.87,7.81,291.21,12.78,5.4
12/15/08,7.44,194,11.48,7.69,290.17,21.53,5.2
12/16/08,7.18,198,11.51,7.71,290.72,18.93,5.8
12/17/08,7.43,201,11.47,7.66,289.41,18.06,5.2
12/18/08,7.29,204,11.58,7.64,291.53,13.72,5.3
12/19/08,7.81,204,11.69,7.65,288.69,11.97,5.6
12/20/08,8.13,203,11.70,7.65,286.06,10.23,5.7
12/21/08,7.96,198,11.62,7.63,286.34,14.39,5.4
12/22/08,6.95,193,11.72,7.66,289.84,13.78,5.6
12/23/08,5.92,189,11.99,7.69,293.91,13.13,6.6
12/24/08,6.61,181,11.84,7.64,291.98,14.25,4.7
12/25/08,6.95,178,11.66,7.62,290.18,12.73,4.6
12/26/08,7.21,175,11.60,7.61,288.26,11.67,5.3
12/27/08,8.31,172,11.45,7.57,282.25,12.43,4.8
12/28/08,8.92,168,11.28,7.56,277.63,11.99,4.2
12/29/08,8.99,167,11.16,7.53,277.58,11.61,3.8
12/30/08,9.15,167,11.02,7.50,277.17,12.37,4.1
12/31/08,8.84,167,11.03,7.54,278.51,19.51,5.9
01/01/09,8.43,168,11.03,7.56,280.28,13.30,5.1
01/02/09,8.50,168,11.04,7.57,281.20,11.69,5.9
01/03/09,8.69,168,10.92,7.54,280.52,11.00,4.9
01/04/09,8.98,168,10.86,7.53,279.52,11.27,4.9
01/05/09,8.88,170,10.80,7.53,279.96,9.61,3.7
01/06/09,8.67,171,10.74,7.53,279.79,7.96,3.6
01/07/09,8.27,169,10.85,7.56,282.23,8.01,4.4
01/08/09,8.09,173,10.94,7.58,281.58,10.61,4.0
01/09/09,7.81,175,11.09,7.61,282.00,10.71,4.2
01/10/09,8.48,177,10.81,7.55,280.47,16.12,3.7
01/11/09,8.80,179,10.87,7.56,278.65,18.25,3.5
01/12/09,8.84,183,11.13,7.57,278.49,15.67,5.5
01/13/09,8.62,183,11.51,7.58,278.56,18.61,3.4
01/14/09,8.09,179,11.71,7.61,280.99,17.79,3.4
01/15/09,7.29,171,11.93,7.63,284.96,18.70,3.7
01/16/09,6.19,165,12.13,7.64,292.27,15.52,4.1
01/17/09,5.18,163,12.38,7.66,297.32,13.32,4.8
01/18/09,5.69,159,12.26,7.62,297.15,11.59,4.4
01/19/09,5.71,157,12.27,7.61,296.97,12.53,4.9
01/20/09,5.50,156,12.23,7.61,298.14,10.43,4.6
01/21/09,4.75,157,12.45,7.68,300.70,9.09,5.2
01/22/09,4.70,156,12.66,7.73,302.51,9.13,6.3
01/23/09,5.06,154,12.78,7.76,302.24,9.24,7.7
01/24/09,5.20,155,12.46,7.66,304.24,8.71,5.3
01/25/09,4.90,156,12.46,7.67,305.42,8.24,6.1
01/26/09,4.68,157,12.47,7.68,304.94,7.96,6.2
01/27/09,4.56,157,12.47,7.68,306.45,7.70,6.6
01/28/09,4.37,157,12.49,7.67,307.34,7.93,7.1
01/29/09,4.35,161,12.35,7.64,306.94,7.33,6.6
01/30/09,4.24,157,12.45,7.67,308.07,7.35,6.5
01/31/09,4.23,158,12.71,7.73,309.40,7.82,7.9
02/01/09,4.47,161,12.94,7.78,309.07,7.74,8.9
02/02/09,4.89,162,12.80,7.77,308.08,9.10,8.7
02/03/09,4.73,160,12.83,7.76,308.27,13.48,10.0
02/04/09,4.35,157,12.81,7.75,309.52,13.39,10.0
02/05/09,3.62,156,13.27,7.86,313.29,11.45,11.7
02/06/09,4.14,152,13.10,7.80,313.05,11.43,11.8
02/07/09,4.55,152,13.31,7.88,311.39,11.61,13.5
02/08/09,5.51,150,13.89,8.12,301.89,11.27,16.6
02/09/09,6.02,153,13.63,8.06,301.59,11.17,15.4
02/10/09,6.42,156,12.66,7.79,307.76,10.37,10.6
02/11/09,7.12,160,12.30,7.74,304.91,10.37,8.5
02/12/09,7.86,159,12.25,7.81,298.20,9.24,9.5
02/13/09,8.05,157,12.44,7.91,294.96,8.79,11.6
02/14/09,8.34,162,12.03,7.79,299.50,9.42,9.0
02/15/09,8.51,162,11.87,7.78,300.64,8.91,8.6
02/16/09,8.59,167,11.75,7.79,302.14,8.16,7.6
02/17/09,8.13,165,11.80,7.81,305.75,8.17,8.4
02/18/09,8.15,166,11.85,7.85,307.94,9.06,9.7
02/19/09,8.11,165,11.89,7.89,309.83,9.76,10.2
02/20/09,8.04,173,12.00,7.94,308.90,8.04,10.0
02/21/09,7.71,174,11.98,7.92,313.45,7.30,10.6
02/22/09,7.43,175,12.07,7.96,314.39,6.60,10.4
02/23/09,7.32,182,12.40,8.08,315.41,6.06,10.9
02/24/09,7.04,174,12.56,8.13,317.50,5.90,11.7
02/25/09,7.07,167,12.71,8.19,318.77,6.56,13.6
02/26/09,7.50,167,12.79,8.28,315.66,6.63,16.0
02/27/09,8.08,168,12.76,8.36,311.67,6.31,18.1
02/28/09,7.99,169,12.54,8.30,312.43,5.96,17.9
03/01/09,7.98,167,12.25,8.20,314.67,9.12,17.2
03/02/09,7.48,165,12.40,8.22,316.47,9.07,17.6
03/03/09,7.17,166,12.63,8.29,315.36,7.57,16.5
03/04/09,7.04,165,12.90,8.36,314.83,7.46,16.9
03/05/09,7.49,164,12.87,8.34,316.26,7.93,17.5
03/06/09,8.16,164,12.47,8.23,314.58,7.30,16.2
03/07/09,8.91,166,12.36,8.22,308.95,6.45,14.4
03/08/09,9.59,165,12.07,8.13,306.61,6.09,13.1
03/09/09,10.91,164,12.23,8.21,288.88,5.22,10.8
03/10/09,11.01,165,11.86,8.12,290.85,5.36,10.3
03/11/09,11.15,165,11.32,7.92,297.59,6.27,9.3
03/12/09,10.90,166,11.07,7.84,301.08,4.88,8.0
03/13/09,10.75,167,10.96,7.81,303.09,4.48,6.8
03/14/09,10.63,174,10.83,7.76,305.08,4.24,6.1
03/15/09,10.64,175,10.77,7.72,305.17,3.92,6.0
03/16/09,11.15,169,10.95,7.76,301.80,3.87,5.6
03/17/09,12.24,169,11.33,7.90,289.22,3.53,5.2
03/18/09,11.90,172,11.23,7.84,293.65,3.83,5.5
03/19/09,12.08,177,11.07,7.81,301.02,4.08,5.5
03/20/09,12.27,185,10.85,7.74,309.67,4.47,5.1
03/21/09,12.46,183,10.99,7.80,307.55,4.49,6.1
03/22/09,12.64,183,10.90,7.75,315.81,4.38,5.7
03/23/09,12.84,177,11.36,7.89,310.30,4.12,6.3
03/24/09,12.98,189,10.63,7.70,328.79,5.80,5.7
03/25/09,13.69,182,10.76,7.79,325.60,5.44,7.0
03/26/09,14.29,186,11.16,7.92,313.52,5.33,8.0
03/27/09,14.15,180,10.62,7.70,335.08,6.00,7.1
03/28/09,14.19,184,10.43,7.70,341.70,6.27,6.7
03/29/09,13.77,184,10.19,7.69,349.00,7.18,6.2
03/30/09,13.59,181,10.30,7.73,349.14,7.13,6.4
03/31/09,13.52,178,10.22,7.70,355.59,6.94,6.7
04/01/09,13.78,178,10.22,7.71,356.20,7.64,7.1
04/02/09,13.92,182,9.94,7.63,358.45,10.89,7.3
04/03/09,13.83,176,9.90,7.62,360.23,13.68,7.4
04/04/09,14.19,175,10.04,7.63,358.06,13.97,9.4
04/05/09,14.35,175,9.84,7.57,358.38,10.71,9.0
04/06/09,14.12,186,9.95,7.63,357.04,7.63,7.7
04/07/09,13.68,184,9.98,7.64,356.64,7.43,8.1
04/08/09,13.52,178,10.15,7.68,344.45,9.21,10.2
04/09/09,13.83,179,10.63,7.83,330.91,8.46,12.7
04/10/09,13.73,186,10.22,7.73,336.46,8.23,8.8
04/11/09,13.98,184,10.24,7.74,332.77,8.41,7.8
04/12/09,14.05,180,10.31,7.73,331.34,11.86,9.1
04/13/09,14.12,179,10.12,7.69,334.86,15.44,7.0
04/14/09,14.29,174,10.12,7.70,331.95,19.85,8.0
04/15/09,14.39,170,10.23,7.73,329.54,20.16,7.3
04/16/09,14.65,172,10.26,7.71,326.34,39.35,7.6
04/17/09,15.33,172,11.26,8.04,294.38,105.88,9.3
04/18/09,15.36,174,11.03,7.95,291.01,28.81,9.9
04/19/09,15.19,173,10.16,7.73,301.57,36.89,7.7
04/20/09,15.48,173,10.20,7.76,296.27,22.54,7.3
04/21/09,15.63,179,10.22,7.79,290.07,24.13,7.7
04/22/09,15.85,175,10.01,7.70,290.73,26.81,7.1
04/23/09,16.26,173,10.40,7.86,274.05,27.41,8.2
04/24/09,16.59,174,10.24,7.82,268.06,26.81,7.8
04/25/09,17.20,174,10.19,7.81,258.95,26.85,8.0
04/26/09,17.89,174,10.29,7.85,247.22,27.40,9.2
04/27/09,18.42,179,10.17,7.86,238.07,35.82,9.6
04/28/09,19.06,178,10.38,7.96,227.56,26.59,10.8
04/29/09,19.56,173,10.47,8.00,218.86,27.67,8.3
04/30/09,19.25,169,9.53,7.65,225.79,31.88,6.6
05/01/09,19.34,168,8.99,7.52,230.06,34.62,11.5
05/02/09,19.23,168,8.44,7.38,233.72,34.09,8.5
05/03/09,19.07,166,8.03,7.29,234.35,39.77,8.8
05/04/09,18.95,168,7.72,7.22,234.29,49.91,4.1
05/05/09,18.82,169,7.44,7.15,236.93,95.78,4.9
05/06/09,18.68,149,7.10,7.00,243.27,226.71,4.8
05/07/09,19.16,149,7.03,6.99,238.64,361.13,4.0
05/08/09,19.46,154,7.34,7.03,236.76,493.67,4.8
05/09/09,19.79,159,7.57,7.08,233.68,412.35,5.5
05/10/09,20.09,162,7.47,7.09,231.81,227.79,2.5
05/11/09,20.29,162,7.40,7.06,229.71,386.28,2.3
05/12/09,20.49,168,7.44,7.05,230.22,398.40,3.6
05/13/09,20.47,164,7.83,7.10,230.72,43.16,3.4
05/14/09,20.64,158,8.03,7.20,227.10,15.24,3.6
05/15/09,21.21,155,8.29,7.23,220.57,16.54,4.6
05/16/09,21.34,154,8.25,7.18,219.80,208.97,5.1
05/17/09,21.06,154,8.20,7.19,218.58,640.57,4.3
05/18/09,20.87,153,8.13,7.21,216.80,463.26,4.3
05/19/09,20.96,151,8.16,7.22,214.39,401.48,5.2
05/20/09,21.20,152,8.60,7.29,209.94,345.52,7.2
05/21/09,21.79,151,8.92,7.34,203.36,293.71,8.2
05/22/09,22.26,151,9.27,7.37,195.47,557.60,9.4
05/23/09,23.20,150,9.99,7.59,175.83,368.40,10.1
05/24/09,23.39,148,9.80,7.62,168.66,209.07,11.5
05/25/09,23.10,151,9.18,7.37,165.06,229.13,9.2
05/26/09,23.04,152,8.65,7.18,154.23,401.59,10.1
05/27/09,23.37,154,8.54,7.16,147.54,430.93,14.9
05/28/09,23.65,154,8.40,7.12,153.17,462.79,27.0
05/29/09,23.62,154,8.36,7.13,146.80,528.55,47.1
05/30/09,23.65,149,7.94,7.06,146.93,768.47,26.9
05/31/09,24.38,149,9.38,7.32,142.64,595.25,42.7
06/01/09,25.08,149,10.59,7.72,140.71,478.33,32.2
06/02/09,25.55,148,10.83,8.11,128.26,589.61,32.4
06/03/09,25.28,149,9.48,7.79,133.71,82.00,35.2
06/04/09,24.94,151,8.53,7.54,131.22,106.07,41.6
06/05/09,24.35,153,7.38,7.22,137.30,180.78,40.8
06/06/09,24.53,155,6.78,7.17,137.48,18.41,54.9
06/07/09,24.52,152,7.73,7.26,142.25,19.82,64.6
06/08/09,24.55,152,7.79,7.22,156.09,26.68,90.0
06/09/09,25.14,153,8.11,7.31,137.29,37.21,139.9
06/10/09,25.40,153,8.08,7.23,139.17,53.93,171.4
06/11/09,25.51,153,7.54,7.15,147.06,47.44,122.3
06/12/09,26.22,153,7.52,7.25,140.79,23.72,157.5
06/13/09,26.48,153,8.12,7.33,133.39,42.18,190.1
06/14/09,26.71,151,7.98,7.28,141.66,47.89,148.3
06/15/09,26.49,150,6.28,6.95,159.56,59.68,103.7
06/16/09,26.14,151,6.25,6.96,168.86,91.84,58.8
06/17/09,26.65,152,6.15,6.96,163.32,21.80,34.2
06/18/09,27.08,154,6.96,7.16,149.66,8.05,15.8
06/19/09,27.77,155,7.56,7.36,136.05,9.80,10.0
06/20/09,28.45,154,8.66,7.63,122.54,10.35,19.0
06/21/09,29.56,157,9.35,7.80,102.25,5.71,41.0
06/22/09,30.50,156,9.39,8.02,62.66,4.86,25.3
06/23/09,31.07,154,9.10,8.24,20.42,3.20,20.4
06/24/09,31.32,154,8.49,7.98,33.45,3.06,22.9
06/25/09,31.92,154,9.77,8.40,31.00,2.44,8.4
06/26/09,31.12,150,10.42,8.86,32.03,2.73,8.8
06/27/09,31.10,152,10.35,8.76,30.71,2.89,10.4
06/28/09,30.75,152,9.66,8.74,27.53,3.78,11.5
06/29/09,30.07,156,7.96,8.24,28.17,3.47,9.5
06/30/09,29.73,156,7.99,8.13,26.65,4.20,10.0
07/01/09,29.43,157,7.51,7.88,29.20,3.63,10.0
07/02/09,29.17,157,7.03,7.65,31.18,3.69,10.2
07/03/09,29.40,156,7.73,7.85,25.55,2.63,15.5
07/04/09,29.04,156,7.32,7.65,30.20,3.26,19.7
07/06/09,28.78,153,8.12,7.93,48.05,2.57,12.2
07/07/09,28.72,152,8.69,8.05,19.44,5.12,14.0
07/08/09,29.23,151,10.51,8.57,13.50,20.22,21.4
07/09/09,29.54,150,9.22,8.25,11.76,114.78,19.7
07/10/09,29.10,152,8.14,7.73,57.99,300.40,37.8
07/11/09,28.38,152,6.02,7.15,220.29,858.57,40.4
07/12/09,28.50,154,6.27,7.17,269.38,751.05,61.6
07/13/09,28.69,154,6.81,7.26,221.01,862.12,77.0
07/14/09,28.68,151,7.51,7.36,189.65,814.24,107.4
07/15/09,28.43,149,6.96,7.21,206.65,817.50,72.7
07/16/09,28.39,154,6.42,7.12,193.70,671.43,27.2
07/17/09,28.23,154,6.15,7.15,184.20,557.96,18.9
07/18/09,27.83,154,6.00,7.16,198.74,516.25,9.3
07/19/09,27.56,153,6.46,7.22,184.09,499.61,5.2
07/20/09,27.88,151,7.57,7.43,157.68,565.66,3.1
07/21/09,27.17,149,7.14,7.22,159.50,547.49,2.9
07/22/09,26.76,149,6.68,7.23,118.68,551.97,2.4
07/23/09,27.44,150,6.70,7.30,101.55,506.56,1.8
07/24/09,27.51,148,8.22,7.68,86.08,433.19,2.0
07/25/09,27.33,147,8.39,7.67,86.78,255.15,2.2
07/26/09,27.95,148,8.57,7.87,71.83,249.73,2.1
07/27/09,28.40,147,8.82,7.94,58.57,303.53,2.9
07/28/09,27.87,142,7.67,7.44,82.86,378.14,4.1
07/29/09,27.55,142,6.85,7.21,89.34,430.43,3.7
07/30/09,27.23,143,6.81,7.16,87.39,419.55,4.1
07/31/09,27.71,144,7.51,7.37,76.95,426.61,2.8
08/01/09,27.61,144,7.79,7.43,78.41,405.49,4.3
08/02/09,27.88,145,8.48,7.66,71.93,489.88,2.6
08/03/09,27.93,145,8.55,7.53,76.54,591.86,4.3
08/04/09,27.93,144,7.07,7.23,84.26,602.37,12.2
08/05/09,27.93,154,7.38,7.41,82.03,517.50,16.3
08/06/09,28.50,157,8.37,7.69,62.72,496.71,9.3
08/07/09,28.64,155,8.12,7.56,46.20,457.68,30.9
08/08/09,28.85,154,7.79,7.43,32.03,440.34,29.2
08/09/09,28.98,155,7.35,7.37,22.76,221.15,30.9
08/10/09,29.39,155,7.46,7.29,36.68,6.04,28.5
08/11/09,29.28,154,7.79,7.36,40.74,6.54,29.0
08/12/09,29.16,154,7.30,7.41,43.01,20.53,25.9
08/13/09,29.48,153,7.62,7.60,31.38,51.25,19.0
08/14/09,29.74,151,8.25,7.73,27.05,4.48,13.9
08/15/09,29.86,147,8.28,7.67,34.11,6.52,51.9
08/16/09,29.24,145,6.75,7.24,43.82,61.88,52.8
08/17/09,29.05,146,6.41,7.21,40.93,137.93,88.7
08/18/09,29.14,147,6.57,7.28,38.53,153.93,134.4
08/19/09,29.02,148,6.32,7.23,41.49,189.31,128.1
08/20/09,28.74,153,5.88,7.19,31.60,228.49,92.0
08/21/09,28.56,153,5.78,7.13,32.29,237.31,89.3
08/22/09,28.18,153,6.20,7.29,34.85,61.49,61.6
08/23/09,27.70,154,6.38,7.33,39.90,82.88,58.5
08/24/09,27.59,156,6.71,7.42,32.57,98.89,82.2
08/25/09,27.75,155,7.29,7.62,22.07,172.11,46.9
08/26/09,28.47,153,8.85,7.94,22.72,98.71,16.1
08/27/09,28.19,151,8.34,7.73,29.19,2.29,10.8
08/28/09,27.97,151,7.69,7.50,29.76,2.68,9.1
08/29/09,27.77,155,7.97,7.66,27.16,2.83,12.4
08/30/09,27.39,157,7.33,7.48,31.71,3.39,13.3
08/31/09,26.92,161,6.72,7.36,30.05,4.19,8.3
09/01/09,26.61,161,7.06,7.38,37.72,4.59,9.2
09/02/09,26.32,163,6.78,7.27,32.85,4.41,10.3
09/03/09,26.36,164,6.71,7.30,30.44,4.90,9.7
09/04/09,26.79,159,7.75,7.46,23.66,4.87,10.8
09/05/09,26.60,158,7.71,7.46,29.07,7.04,15.5
09/06/09,26.16,159,7.43,7.39,31.17,3.78,24.9
09/07/09,26.33,163,7.15,7.42,22.82,12.71,24.0
09/08/09,26.89,163,8.37,7.62,21.20,5.08,35.6
09/09/09,27.19,161,7.87,7.53,20.99,3.32,43.1
09/10/09,27.19,162,7.79,7.48,20.55,3.66,52.9
09/11/09,27.59,159,8.28,7.53,22.70,5.36,31.7
09/12/09,27.51,158,8.28,7.62,21.93,8.89,25.3
09/13/09,26.75,153,6.38,7.19,30.83,13.85,18.9
09/14/09,26.48,153,5.84,7.15,31.76,13.54,17.3
09/15/09,26.26,154,6.14,7.15,34.84,15.40,12.2
09/16/09,26.17,163,5.58,7.16,25.15,14.26,9.9
09/17/09,25.88,167,4.99,7.08,16.98,17.07,12.6
09/18/09,25.93,171,5.22,7.06,24.21,14.73,12.1
09/19/09,25.83,170,5.47,7.09,51.32,10.41,11.9
09/20/09,25.56,171,5.88,7.17,50.54,13.58,9.1
09/21/09,25.58,178,5.77,7.14,47.50,15.76,8.4
09/22/09,25.53,181,6.24,7.31,50.70,16.33,7.8
09/23/09,25.72,186,5.91,7.29,43.64,12.06,7.2
09/24/09,25.52,183,5.77,7.29,39.43,14.75,9.6
09/25/09,25.44,183,5.64,7.29,42.61,22.81,12.6
09/26/09,25.52,187,5.66,7.30,40.13,31.91,12.5
09/27/09,25.15,182,6.19,7.34,42.90,15.81,9.0
09/28/09,24.60,181,6.57,7.40,43.36,19.20,7.5
09/29/09,23.90,183,7.06,7.48,53.14,14.20,7.4
09/30/09,23.54,183,7.39,7.50,58.23,13.08,8.0
10/01/09,22.96,182,7.32,7.47,53.66,15.55,11.0
10/02/09,22.79,180,7.21,7.42,65.54,12.17,14.4
10/03/09,22.37,180,7.38,7.41,79.47,12.37,14.0
10/04/09,21.87,180,7.44,7.41,86.34,12.09,14.1
10/05/09,21.53,179,7.48,7.36,91.30,13.11,11.7
10/06/09,21.11,178,7.43,7.24,106.87,12.46,12.9
10/07/09,20.87,178,7.64,7.23,118.86,10.05,5.6
10/08/09,20.56,177,7.70,7.18,133.82,7.75,2.4
